#Chromosome	Start	End	PValue	Score	Strand	ChIPCount	InputCount	FDR	log2FoldChange
chr2	32400	33399	1.0206726421638307e-08	898.5557760618368	.	2	0	1.1002055753194539e-08	8.985557760618368
chr2	15618800	15619599	5.228937118152232e-09	930.748585550573	.	2	0	6.861688234097e-09	9.30748585550573
chr2	39208000	39208799	5.228937118152232e-09	930.748585550573	.	2	0	6.861688234097e-09	9.30748585550573
chr2	48521000	48521199	8.184731894908448e-11	1000.0	.	2	0	6.319374393278151e-10	11.30748585550573
chr2	61986000	61986599	2.207263610333191e-09	972.2523354784574	.	2	0	3.83670952162628e-09	9.722523354784574
chr2	73314400	73315199	5.228937118152232e-09	930.748585550573	.	2	0	6.861688234097e-09	9.30748585550573
chr2	101681600	101682399	5.228937118152232e-09	930.748585550573	.	2	0	6.861688234097e-09	9.30748585550573
chr2	136216000	136216799	5.228937118152232e-09	930.748585550573	.	2	0	6.861688234097e-09	9.30748585550573
chr2	175474200	175474599	6.543911699123029e-10	1000.0	.	2	0	1.8411683763634284e-09	10.30748585550573
chr2	181811200	181811799	2.207263610333191e-09	972.2523354784574	.	2	0	3.83670952162628e-09	9.722523354784574
chr2	201039600	201040199	2.207263610333191e-09	972.2523354784574	.	2	0	3.83670952162628e-09	9.722523354784574
chr2	202215400	202215799	6.543911699123029e-10	1000.0	.	2	0	1.8411683763634284e-09	10.30748585550573
chr2	207865600	207866599	1.0206726421638307e-08	898.5557760618368	.	2	0	1.1002055753194539e-08	8.985557760618368
chr2	224033800	224034799	1.0206726421638307e-08	898.5557760618368	.	2	0	1.1002055753194539e-08	8.985557760618368
chr3	85593400	85594199	5.228937118152232e-09	930.748585550573	.	2	0	6.861688234097e-09	9.30748585550573
chr3	88280800	88281399	2.207263610333191e-09	972.2523354784574	.	2	0	3.83670952162628e-09	9.722523354784574
chr3	116714000	116714599	2.207263610333191e-09	972.2523354784574	.	2	0	3.83670952162628e-09	9.722523354784574
chr3	130362000	130362799	5.228937118152232e-09	930.748585550573	.	2	0	6.861688234097e-09	9.30748585550573
chr3	139795400	139796199	5.228937118152232e-09	930.748585550573	.	2	0	6.861688234097e-09	9.30748585550573
chr3	161112200	161112999	5.228937118152232e-09	930.748585550573	.	2	0	6.861688234097e-09	9.30748585550573
chr3	187144000	187144199	8.184731894908448e-11	1000.0	.	2	0	6.319374393278151e-10	11.30748585550573
chr3	195381600	195382599	1.0206726421638307e-08	898.5557760618368	.	2	0	1.1002055753194539e-08	8.985557760618368
chr3	197835600	197835999	6.543911699123029e-10	1000.0	.	2	0	1.8411683763634284e-09	10.30748585550573
chr4	4342200	4342799	2.207263610333191e-09	972.2523354784574	.	2	0	3.83670952162628e-09	9.722523354784574
chr4	20235600	20236399	5.228937118152232e-09	930.748585550573	.	2	0	6.861688234097e-09	9.30748585550573
chr4	37984000	37984799	5.228937118152232e-09	930.748585550573	.	2	0	6.861688234097e-09	9.30748585550573
chr4	47534200	47534599	6.543911699123029e-10	1000.0	.	2	0	1.8411683763634284e-09	10.30748585550573
chr4	78769800	78770599	5.228937118152232e-09	930.748585550573	.	2	0	6.861688234097e-09	9.30748585550573
chr4	82095400	82095599	8.184731894908448e-11	1000.0	.	2	0	6.319374393278151e-10	11.30748585550573
chr4	122316200	122316999	5.228937118152232e-09	930.748585550573	.	2	0	6.861688234097e-09	9.30748585550573
chr4	148758400	148758599	8.184731894908448e-11	1000.0	.	2	0	6.319374393278151e-10	11.30748585550573
chr4	150551800	150552599	5.228937118152232e-09	930.748585550573	.	2	0	6.861688234097e-09	9.30748585550573
chr4	177477400	177477799	6.543911699123029e-10	1000.0	.	2	0	1.8411683763634284e-09	10.30748585550573
chr5	25080600	25081599	1.0206726421638307e-08	898.5557760618368	.	2	0	1.1002055753194539e-08	8.985557760618368
chr5	122802800	122803799	1.0206726421638307e-08	898.5557760618368	.	2	0	1.1002055753194539e-08	8.985557760618368
chr5	129214000	129214599	2.207263610333191e-09	972.2523354784574	.	2	0	3.83670952162628e-09	9.722523354784574
chr5	131383800	131383999	8.184731894908448e-11	1000.0	.	2	0	6.319374393278151e-10	11.30748585550573
chr5	149809600	149809799	8.184731894908448e-11	1000.0	.	2	0	6.319374393278151e-10	11.30748585550573
chr5	153445000	153445799	5.228937118152232e-09	930.748585550573	.	2	0	6.861688234097e-09	9.30748585550573
chr5	158534800	158534999	8.184731894908448e-11	1000.0	.	2	0	6.319374393278151e-10	11.30748585550573
chr6	8145600	8146199	2.207263610333191e-09	972.2523354784574	.	2	0	3.83670952162628e-09	9.722523354784574
chr6	13436000	13436599	2.207263610333191e-09	972.2523354784574	.	2	0	3.83670952162628e-09	9.722523354784574
chr6	14965600	14965799	8.184731894908448e-11	1000.0	.	2	0	6.319374393278151e-10	11.30748585550573
chr6	28180800	28181199	6.543911699123029e-10	1000.0	.	2	0	1.8411683763634284e-09	10.30748585550573
chr6	40716200	40716799	2.207263610333191e-09	972.2523354784574	.	2	0	3.83670952162628e-09	9.722523354784574
chr6	58887000	58887199	8.184731894908448e-11	1000.0	.	2	0	6.319374393278151e-10	11.30748585550573
chr6	83528200	83528999	5.228937118152232e-09	930.748585550573	.	2	0	6.861688234097e-09	9.30748585550573
chr6	84993400	84994399	1.0206726421638307e-08	898.5557760618368	.	2	0	1.1002055753194539e-08	8.985557760618368
chr6	87841600	87842599	1.0206726421638307e-08	898.5557760618368	.	2	0	1.1002055753194539e-08	8.985557760618368
chr6	88523200	88523599	6.543911699123029e-10	1000.0	.	2	0	1.8411683763634284e-09	10.30748585550573
chr6	109943000	109943799	5.228937118152232e-09	930.748585550573	.	2	0	6.861688234097e-09	9.30748585550573
chr6	127877800	127878199	6.543911699123029e-10	1000.0	.	2	0	1.8411683763634284e-09	10.30748585550573
chr6	135900600	135900999	6.543911699123029e-10	1000.0	.	2	0	1.8411683763634284e-09	10.30748585550573
chr7	2360400	2360799	6.543911699123029e-10	1000.0	.	2	0	1.8411683763634284e-09	10.30748585550573
chr7	3069200	3069599	6.543911699123029e-10	1000.0	.	2	0	1.8411683763634284e-09	10.30748585550573
chr7	18196600	18197599	1.0206726421638307e-08	898.5557760618368	.	2	0	1.1002055753194539e-08	8.985557760618368
chr7	21904400	21905199	5.228937118152232e-09	930.748585550573	.	2	0	6.861688234097e-09	9.30748585550573
chr7	25267200	25267999	5.228937118152232e-09	930.748585550573	.	2	0	6.861688234097e-09	9.30748585550573
chr7	44197400	44198199	5.228937118152232e-09	930.748585550573	.	2	0	6.861688234097e-09	9.30748585550573
chr7	44263800	44264399	2.207263610333191e-09	972.2523354784574	.	2	0	3.83670952162628e-09	9.722523354784574
chr7	88799600	88799999	6.543911699123029e-10	1000.0	.	2	0	1.8411683763634284e-09	10.30748585550573
chr7	89812600	89812799	8.184731894908448e-11	1000.0	.	2	0	6.319374393278151e-10	11.30748585550573
chr7	91995000	91995399	6.543911699123029e-10	1000.0	.	2	0	1.8411683763634284e-09	10.30748585550573
chr7	93845800	93845999	8.184731894908448e-11	1000.0	.	2	0	6.319374393278151e-10	11.30748585550573
chr7	134483600	134483999	6.543911699123029e-10	1000.0	.	2	0	1.8411683763634284e-09	10.30748585550573
chr7	148268000	148268999	1.0206726421638307e-08	898.5557760618368	.	2	0	1.1002055753194539e-08	8.985557760618368
chr8	38686400	38687399	1.0206726421638307e-08	898.5557760618368	.	2	0	1.1002055753194539e-08	8.985557760618368
chr8	53868200	53868999	5.228937118152232e-09	930.748585550573	.	2	0	6.861688234097e-09	9.30748585550573
chr8	70537400	70537999	2.207263610333191e-09	972.2523354784574	.	2	0	3.83670952162628e-09	9.722523354784574
chr8	82435600	82436399	5.228937118152232e-09	930.748585550573	.	2	0	6.861688234097e-09	9.30748585550573
chr8	95555000	95555999	1.0206726421638307e-08	898.5557760618368	.	2	0	1.1002055753194539e-08	8.985557760618368
chr8	100094400	100094599	8.184731894908448e-11	1000.0	.	2	0	6.319374393278151e-10	11.30748585550573
chr8	101227400	101227599	8.184731894908448e-11	1000.0	.	2	0	6.319374393278151e-10	11.30748585550573
chr8	125556600	125556799	8.184731894908448e-11	1000.0	.	2	0	6.319374393278151e-10	11.30748585550573
chr9	26937600	26937799	8.184731894908448e-11	1000.0	.	2	0	6.319374393278151e-10	11.30748585550573
chr9	38268800	38268999	8.184731894908448e-11	1000.0	.	2	0	6.319374393278151e-10	11.30748585550573
chr9	97678000	97678399	6.543911699123029e-10	1000.0	.	2	0	1.8411683763634284e-09	10.30748585550573
chr9	100604000	100604399	6.543911699123029e-10	1000.0	.	2	0	1.8411683763634284e-09	10.30748585550573
chr9	129517800	129517999	8.184731894908448e-11	1000.0	.	2	0	6.319374393278151e-10	11.30748585550573
chr10	10498200	10498599	6.543911699123029e-10	1000.0	.	2	0	1.8411683763634284e-09	10.30748585550573
chr10	48098200	48098799	2.207263610333191e-09	972.2523354784574	.	2	0	3.83670952162628e-09	9.722523354784574
chr10	63417600	63417999	6.543911699123029e-10	1000.0	.	2	0	1.8411683763634284e-09	10.30748585550573
chr10	98847000	98847399	6.543911699123029e-10	1000.0	.	2	0	1.8411683763634284e-09	10.30748585550573
chr10	131154400	131154799	6.543911699123029e-10	1000.0	.	2	0	1.8411683763634284e-09	10.30748585550573
chr11	16716400	16716999	2.207263610333191e-09	972.2523354784574	.	2	0	3.83670952162628e-09	9.722523354784574
chr11	22604000	22604399	6.543911699123029e-10	1000.0	.	2	0	1.8411683763634284e-09	10.30748585550573
chr11	31487600	31488599	1.0206726421638307e-08	898.5557760618368	.	2	0	1.1002055753194539e-08	8.985557760618368
chr11	34336800	34337399	2.207263610333191e-09	972.2523354784574	.	2	0	3.83670952162628e-09	9.722523354784574
chr11	44015000	44015399	6.543911699123029e-10	1000.0	.	2	0	1.8411683763634284e-09	10.30748585550573
chr11	117422000	117422399	6.543911699123029e-10	1000.0	.	2	0	1.8411683763634284e-09	10.30748585550573
chr12	9384600	9385599	1.0206726421638307e-08	898.5557760618368	.	2	0	1.1002055753194539e-08	8.985557760618368
chr12	12115600	12116599	1.0206726421638307e-08	898.5557760618368	.	2	0	1.1002055753194539e-08	8.985557760618368
chr12	24857800	24858399	2.207263610333191e-09	972.2523354784574	.	2	0	3.83670952162628e-09	9.722523354784574
chr12	44406000	44406999	7.941979989922563e-15	998.5557760618368	.	4	0	1.3183686783271454e-12	9.985557760618368
chr12	55551600	55551999	6.543911699123029e-10	1000.0	.	2	0	1.8411683763634284e-09	10.30748585550573
chr12	56139000	56139599	2.207263610333191e-09	972.2523354784574	.	2	0	3.83670952162628e-09	9.722523354784574
chr12	64597600	64597999	6.543911699123029e-10	1000.0	.	2	0	1.8411683763634284e-09	10.30748585550573
chr12	88270200	88270799	2.207263610333191e-09	972.2523354784574	.	2	0	3.83670952162628e-09	9.722523354784574
chr12	95094400	95095399	1.0206726421638307e-08	898.5557760618368	.	2	0	1.1002055753194539e-08	8.985557760618368
chr12	96881600	96881799	8.184731894908448e-11	1000.0	.	2	0	6.319374393278151e-10	11.30748585550573
chr12	106602400	106603599	1.974919781210968e-14	972.2523354784574	.	4	0	1.6391834184051035e-12	9.722523354784574
chr13	33041400	33042399	1.0065801266215275e-11	957.0520261339525	.	3	0	4.1773075254793393e-10	9.570520261339524
chr13	36535600	36535999	6.543911699123029e-10	1000.0	.	2	0	1.8411683763634284e-09	10.30748585550573
chr13	48438200	48438599	6.543911699123029e-10	1000.0	.	2	0	1.8411683763634284e-09	10.30748585550573
chr13	113095600	113095999	6.543911699123029e-10	1000.0	.	2	0	1.8411683763634284e-09	10.30748585550573
chr14	30160600	30161599	1.0206726421638307e-08	898.5557760618368	.	2	0	1.1002055753194539e-08	8.985557760618368
chr14	44201400	44201799	6.543911699123029e-10	1000.0	.	2	0	1.8411683763634284e-09	10.30748585550573
chr14	54727600	54727799	8.184731894908448e-11	1000.0	.	2	0	6.319374393278151e-10	11.30748585550573
chr14	67356600	67356999	6.543911699123029e-10	1000.0	.	2	0	1.8411683763634284e-09	10.30748585550573
chr14	75051400	75051799	6.543911699123029e-10	1000.0	.	2	0	1.8411683763634284e-09	10.30748585550573
chr14	76404200	76404399	8.184731894908448e-11	1000.0	.	2	0	6.319374393278151e-10	11.30748585550573
chr14	76912200	76912799	2.207263610333191e-09	972.2523354784574	.	2	0	3.83670952162628e-09	9.722523354784574
chr15	38781800	38782599	5.228937118152232e-09	930.748585550573	.	2	0	6.861688234097e-09	9.30748585550573
chr15	57638400	57638999	2.207263610333191e-09	972.2523354784574	.	2	0	3.83670952162628e-09	9.722523354784574
chr15	76517200	76517399	8.184731894908448e-11	1000.0	.	2	0	6.319374393278151e-10	11.30748585550573
chr16	9080000	9080599	2.207263610333191e-09	972.2523354784574	.	2	0	3.83670952162628e-09	9.722523354784574
chr16	20683000	20683799	5.228937118152232e-09	930.748585550573	.	2	0	6.861688234097e-09	9.30748585550573
chr16	20724800	20725799	1.0206726421638307e-08	898.5557760618368	.	2	0	1.1002055753194539e-08	8.985557760618368
chr16	22216800	22217199	6.543911699123029e-10	1000.0	.	2	0	1.8411683763634284e-09	10.30748585550573
chr16	28892800	28893599	5.228937118152232e-09	930.748585550573	.	2	0	6.861688234097e-09	9.30748585550573
chr16	30612600	30612999	6.543911699123029e-10	1000.0	.	2	0	1.8411683763634284e-09	10.30748585550573
chr16	52910600	52911399	5.228937118152232e-09	930.748585550573	.	2	0	6.861688234097e-09	9.30748585550573
chr16	65955600	65956399	5.228937118152232e-09	930.748585550573	.	2	0	6.861688234097e-09	9.30748585550573
chr16	67987600	67988199	2.207263610333191e-09	972.2523354784574	.	2	0	3.83670952162628e-09	9.722523354784574
chr16	83646600	83647399	5.228937118152232e-09	930.748585550573	.	2	0	6.861688234097e-09	9.30748585550573
chr16	83749000	83749599	1.306175776413088e-12	1000.0	.	3	0	7.227505962819087e-11	10.30748585550573
chr17	6340000	6340199	8.184731894908448e-11	1000.0	.	2	0	6.319374393278151e-10	11.30748585550573
chr17	8036400	8036799	6.543911699123029e-10	1000.0	.	2	0	1.8411683763634284e-09	10.30748585550573
chr17	16496800	16497799	1.0206726421638307e-08	898.5557760618368	.	2	0	1.1002055753194539e-08	8.985557760618368
chr17	30567400	30568399	1.0206726421638307e-08	898.5557760618368	.	2	0	1.1002055753194539e-08	8.985557760618368
chr17	34235000	34235399	6.543911699123029e-10	1000.0	.	2	0	1.8411683763634284e-09	10.30748585550573
chr17	35277000	35277399	6.543911699123029e-10	1000.0	.	2	0	1.8411683763634284e-09	10.30748585550573
chr17	71748600	71748799	8.184731894908448e-11	1000.0	.	2	0	6.319374393278151e-10	11.30748585550573
chr18	9324200	9324399	8.184731894908448e-11	1000.0	.	2	0	6.319374393278151e-10	11.30748585550573
chr18	14914400	14915399	1.0206726421638307e-08	898.5557760618368	.	2	0	1.1002055753194539e-08	8.985557760618368
chr19	17239200	17239799	2.207263610333191e-09	972.2523354784574	.	2	0	3.83670952162628e-09	9.722523354784574
chr19	45288400	45288999	2.207263610333191e-09	972.2523354784574	.	2	0	3.83670952162628e-09	9.722523354784574
chr20	43477600	43477799	8.184731894908448e-11	1000.0	.	2	0	6.319374393278151e-10	11.30748585550573
chr22	16398800	16399599	5.228937118152232e-09	930.748585550573	.	2	0	6.861688234097e-09	9.30748585550573
chr22	35502000	35502999	1.0206726421638307e-08	898.5557760618368	.	2	0	1.1002055753194539e-08	8.985557760618368
chrX	37591800	37592199	6.543911699123029e-10	1000.0	.	2	0	1.8411683763634284e-09	10.30748585550573
chrX	76940200	76940599	6.543911699123029e-10	1000.0	.	2	0	1.8411683763634284e-09	10.30748585550573
